Latitude,Longitude,Yield
-17.824538,-52.083186,4.5543283
-17.824543,-52.083185,2.0924427
-17.824556,-52.08318,1.0976055
-17.824578,-52.083175,1.0705298
-17.8246,-52.083165,0.9172343
-17.824625,-52.083153,0.8558706
-17.824646,-52.083143,0.9119013
-17.82467,-52.083131,1.1788398
-17.824693,-52.08312,1.4380365
-17.824718,-52.083108,1.9825626
-17.824743,-52.083095,2.903946
-17.82477,-52.083083,3.566496
-17.824796,-52.083073,4.1520847
-17.824821,-52.083061,4.1132182
-17.824846,-52.083051,6.8741035
-17.824856,-52.083048,18.9705966
-17.824841,-52.083056,5.7027222
-17.824815,-52.083068,4.1163625
-17.824791,-52.08308,10.8272792
-17.824803,-52.083073,4.2350269
-17.824828,-52.08306,5.3210553
-17.824855,-52.083048,3.040177
-17.824883,-52.083036,1.2716922
-17.82491,-52.083023,0.8342536
-17.824935,-52.083013,0.7676018
-17.824961,-52.083001,0.7961501
-17.82499,-52.08299,0.9247829
-17.825016,-52.082978,1.36101
-17.825045,-52.082966,1.7293283
-17.825071,-52.082953,2.1967347
-17.825098,-52.082941,2.9248953
-17.825125,-52.08293,2.801048
-17.825153,-52.082916,3.2084801
-17.825181,-52.082901,3.7878939
-17.82521,-52.082885,3.5627424
-17.825236,-52.082873,4.3063656
-17.825265,-52.082861,5.3076175
-17.825291,-52.08285,6.1027052
-17.82532,-52.082836,5.6132026
-17.825346,-52.082823,5.5763106
-17.825373,-52.082813,5.6975425
-17.825398,-52.082801,11.2278998
-17.825405,-52.082798,9.535861
-17.8254,-52.082808,3.7762881
-17.825416,-52.0828,0.8234992
-17.82544,-52.082788,0.766886
-17.825465,-52.082776,0.6050288
-17.825496,-52.082763,0.5530079
-17.825526,-52.082748,0.6336465
-17.825558,-52.082731,1.200102
-17.825588,-52.082718,1.9174319
-17.82562,-52.082703,3.2569986
-17.82565,-52.082688,4.0673885
-17.825681,-52.082675,4.6930993
-17.825713,-52.08266,4.9002772
-17.825745,-52.082645,5.3798356
-17.825775,-52.082631,5.8648823
-17.825806,-52.082616,5.5637586
-17.825836,-52.082601,5.5144609
-17.825868,-52.082586,5.1230458
-17.8259,-52.082573,5.0165528
-17.82593,-52.082558,5.170002
-17.825963,-52.082545,5.4196257
-17.825993,-52.08253,5.2972881
-17.826023,-52.082515,5.0506485
-17.826056,-52.082498,4.9347183
-17.826088,-52.082483,5.1821169
-17.826123,-52.082468,4.573536
-17.826156,-52.082453,4.6184439
-17.82619,-52.082438,4.9915186
-17.826221,-52.082423,5.0958474
-17.826255,-52.082408,5.3013974
-17.826288,-52.082393,5.048905
-17.826321,-52.082378,4.9169208
-17.826355,-52.082363,5.2871293
-17.826386,-52.082346,5.3375845
-17.82642,-52.082331,4.8802525
-17.826453,-52.082315,5.1774413
-17.826485,-52.0823,5.8370272
-17.826518,-52.082285,5.5453888
-17.826551,-52.08227,5.3682552
-17.826585,-52.082255,5.568376
-17.826618,-52.08224,5.0044869
-17.826651,-52.082223,5.2706182
-17.826685,-52.082208,5.4227397
-17.826718,-52.082193,4.6976622
-17.826751,-52.082178,4.6333959
-17.826786,-52.082163,5.1622429
-17.82682,-52.082148,5.4563164
-17.826853,-52.082131,5.3007493
-17.826886,-52.082118,5.7722487
-17.826918,-52.082103,4.970287
-17.826951,-52.082088,5.7248583
-17.826983,-52.082073,5.5896402
-17.827016,-52.082056,5.3353674
-17.82705,-52.082041,5.3564153
-17.827081,-52.082026,5.150282
-17.827115,-52.082011,5.0426187
-17.827146,-52.081996,5.1833985
-17.82718,-52.081981,5.6738655
-17.827213,-52.081966,5.6554901
-17.827245,-52.081951,5.7261295
-17.827276,-52.081935,5.1611419
-17.827308,-52.08192,4.9941878
-17.827341,-52.081905,4.7281385
-17.827375,-52.081888,4.9041666
-17.827406,-52.081873,5.1316848
-17.82744,-52.081856,5.5900555
-17.827473,-52.081841,5.3643958
-17.827505,-52.081826,4.9929986
-17.827538,-52.081811,5.031639
-17.827571,-52.081796,5.1002337
-17.827605,-52.081781,5.4925232
-17.827636,-52.081766,5.1963386
-17.82767,-52.081751,5.4675997
-17.827703,-52.081736,6.032796
-17.827735,-52.081721,5.351437
-17.827766,-52.081706,5.4864848
-17.8278,-52.081693,5.590265
-17.827831,-52.081678,5.7865049
-17.827865,-52.081663,5.8838911
-17.827896,-52.081648,6.0501865
-17.827928,-52.081633,6.05865
-17.827961,-52.081618,5.7159026
-17.827993,-52.081603,4.887883
-17.828026,-52.08159,5.5094061
-17.828058,-52.081575,5.8686122
-17.828091,-52.08156,5.3796858
-17.828123,-52.081545,6.3602731
-17.828158,-52.08153,5.8427563
-17.82819,-52.081515,6.6167975
-17.82822,-52.081501,6.7447339
-17.828245,-52.08149,7.2403102
-17.828275,-52.081476,5.5352603
-17.828308,-52.081461,6.7016476
-17.828338,-52.081445,6.491165
-17.828371,-52.08143,5.3701751
-17.828405,-52.081415,4.982068
-17.828438,-52.081398,4.5676537
-17.828471,-52.081383,5.0738982
-17.828503,-52.081366,4.9745657
-17.828536,-52.081351,4.751953
-17.82857,-52.081336,4.9859464
-17.828603,-52.081321,5.6055841
-17.828635,-52.081305,5.6799438
-17.828666,-52.08129,5.2150235
-17.8287,-52.081275,5.4616551
-17.828733,-52.08126,5.1868204
-17.828766,-52.081245,5.2337641
-17.8288,-52.08123,4.776428
-17.828833,-52.081215,4.8285166
-17.828866,-52.0812,5.2547769
-17.828898,-52.081183,5.4111746
-17.82893,-52.081168,5.4118967
-17.828963,-52.081153,5.4547254
-17.828995,-52.081138,5.3256431
-17.829026,-52.081121,4.9463564
-17.829058,-52.081106,5.1437056
-17.829091,-52.081091,4.9172369
-17.829123,-52.081075,5.4869117
-17.829155,-52.08106,5.4238739
-17.829186,-52.081045,5.4759803
-17.82922,-52.081028,5.5294074
-17.829251,-52.081015,5.4164912
-17.829285,-52.081,5.7320593
-17.829316,-52.080986,5.4352053
-17.82935,-52.080971,5.5913715
-17.829383,-52.080955,5.220768
-17.829415,-52.08094,5.3924961
-17.829446,-52.080925,5.5727251
-17.829478,-52.080908,5.5517476
-17.82951,-52.080893,5.5731474
-17.82954,-52.080878,5.0836748
-17.829573,-52.080861,5.4338539
-17.829606,-52.080846,5.8628427
-17.829638,-52.080833,5.6130417
-17.829673,-52.080818,5.498011
-17.829706,-52.080801,5.575438
-17.82974,-52.080785,4.6082154
-17.829773,-52.080768,4.9061119
-17.829808,-52.080751,5.1334944
-17.829841,-52.080735,5.3015625
-17.829876,-52.080716,5.2344123
-17.829911,-52.080701,5.2387572
-17.829946,-52.080686,5.3161111
-17.829983,-52.080671,5.2582106
-17.830016,-52.080655,4.8576472
-17.830051,-52.080638,4.8610243
-17.830086,-52.080621,4.8654873
-17.830123,-52.080605,4.7961552
-17.830158,-52.080588,4.8929563
-17.830193,-52.080571,4.8906317
-17.830228,-52.080556,5.0592396
-17.830263,-52.08054,4.9338956
-17.830298,-52.080523,5.2059909
-17.830331,-52.080506,5.200468
-17.830366,-52.080491,5.6816217
-17.830401,-52.080475,5.2787197
-17.830436,-52.080458,5.8540668
-17.830471,-52.080443,6.0877039
-17.830506,-52.080428,5.6089198
-17.830541,-52.080411,5.5465855
-17.830576,-52.080396,4.827883
-17.830611,-52.08038,5.5753777
-17.830645,-52.080363,6.2570767
-17.83068,-52.080346,5.7447242
-17.830713,-52.08033,5.8892707
-17.830748,-52.080313,5.9623234
-17.830783,-52.080295,5.5641537
-17.830818,-52.080281,5.1795432
-17.830853,-52.080265,5.3547582
-17.830888,-52.080248,5.3387521
-17.830923,-52.080231,5.9228756
-17.830958,-52.080216,5.4004203
-17.830993,-52.0802,4.8841431
-17.831028,-52.080185,5.7728362
-17.831063,-52.080168,5.8301701
-17.831098,-52.080153,5.5466348
-17.831133,-52.080138,5.0224542
-17.831168,-52.080121,4.7104952
-17.831203,-52.080106,5.5799761
-17.831238,-52.08009,5.59095
-17.831271,-52.080075,5.5466404
-17.831306,-52.080058,5.7459455
-17.83134,-52.080041,5.6735526
-17.831375,-52.080026,5.9592243
-17.83141,-52.080011,5.6808475
-17.831445,-52.079995,5.4074918
-17.83148,-52.07998,5.5354459
-17.831513,-52.079963,5.212712
-17.831548,-52.079948,5.8452853
-17.831583,-52.079933,6.3662707
-17.831616,-52.079916,5.7041187
-17.831651,-52.079901,5.2668506
-17.831685,-52.079885,4.9556143
-17.83172,-52.07987,5.5267078
-17.831755,-52.079853,5.5044803
-17.831788,-52.079838,5.6552693
-17.831823,-52.079821,5.8331578
-17.831858,-52.079806,6.0966175
-17.831893,-52.07979,5.4736371
-17.831925,-52.079775,5.1706984
-17.831976,-52.07975,5.1519743
-17.832011,-52.079733,5.0762715
-17.832028,-52.079726,5.3886402
-17.83208,-52.079703,5.7156261
-17.832113,-52.079685,5.3829602
-17.832131,-52.079676,6.2795596
-17.832165,-52.079668,6.0991519
-17.832196,-52.079683,5.6474917
-17.83222,-52.079731,5.8346054
-17.832208,-52.079766,6.7849532
-17.832198,-52.079773,8.3910304
-17.832198,-52.079775,3.5543269
-17.832206,-52.079775,21.2782109
-17.832206,-52.079776,73.2235548
-17.832216,-52.079805,18.2264776
-17.832215,-52.079806,3.120462
-17.832211,-52.079806,1.6738135
-17.832198,-52.079811,0.7845044
-17.832181,-52.07982,0.5243659
-17.83216,-52.079828,0.4852606
-17.832138,-52.07984,0.4560121
-17.832115,-52.079851,0.4200581
-17.832086,-52.079865,0.7329875
-17.832053,-52.079881,1.8068767
-17.83202,-52.079896,3.4419557
-17.831986,-52.079913,3.7726155
-17.831951,-52.079928,3.9870374
-17.83192,-52.079945,4.2860747
-17.831888,-52.079961,4.5674197
-17.831855,-52.079978,4.958792
-17.831823,-52.079993,5.2037477
-17.83179,-52.08001,5.468876
-17.831756,-52.080025,5.4592094
-17.831723,-52.08004,5.6567849
-17.83169,-52.080055,5.284089
-17.831656,-52.08007,5.6324101
-17.831625,-52.080083,5.1696403
-17.83159,-52.0801,5.148839
-17.831558,-52.080115,4.9164371
-17.831525,-52.080131,4.780262
-17.831493,-52.080146,5.4730915
-17.83146,-52.080161,5.6049526
-17.831426,-52.080176,5.9144727
-17.831393,-52.080191,5.0020851
-17.83136,-52.080205,5.159295
-17.831325,-52.08022,5.8750429
-17.831291,-52.080236,6.1101787
-17.83126,-52.080251,5.8854969
-17.831226,-52.080265,5.1918945
-17.831193,-52.080281,5.2701034
-17.83116,-52.080296,5.1768625
-17.831126,-52.080311,5.2622919
-17.831093,-52.080326,5.1847011
-17.831061,-52.080341,5.319031
-17.831026,-52.080356,5.861232
-17.830995,-52.080371,6.5076165
-17.830961,-52.080385,6.493102
-17.830928,-52.0804,6.2468102
-17.830895,-52.080415,6.9117099
-17.830863,-52.080431,5.9119391
-17.83083,-52.080446,5.4531962
-17.830796,-52.080461,5.401165
-17.830765,-52.080476,5.7490436
-17.830733,-52.080493,5.0535269
-17.8307,-52.080506,5.2270217
-17.830666,-52.080523,5.0767951
-17.830635,-52.080538,5.7485445
-17.830601,-52.080553,5.9268329
-17.830568,-52.08057,5.7200052
-17.830536,-52.080586,5.51129
-17.830503,-52.080601,5.6147406
-17.83047,-52.080616,6.153004
-17.830436,-52.080631,6.7666387
-17.830405,-52.080648,7.0760058
-17.830373,-52.080665,6.5480659
-17.830341,-52.080681,6.2865106
-17.830308,-52.080698,6.8839264
-17.830275,-52.080715,6.3865605
-17.830241,-52.080728,5.6776127
-17.830208,-52.080745,4.9381148
-17.830175,-52.080761,5.6146802
-17.830141,-52.080776,6.1621344
-17.830108,-52.08079,6.0771843
-17.830075,-52.080805,6.1689774
-17.830041,-52.080821,5.755443
-17.830008,-52.080836,6.0854515
-17.829976,-52.080851,5.9881958
-17.829943,-52.080868,5.5736962
-17.82991,-52.080881,5.3100908
-17.829876,-52.080896,5.9098146
-17.829845,-52.080911,5.6370483
-17.829811,-52.080926,6.0094445
-17.829778,-52.080943,6.3869197
-17.829746,-52.080958,5.8174636
-17.829713,-52.080975,5.8124215
-17.82968,-52.08099,6.0176608
-17.829646,-52.081005,5.539616
-17.829613,-52.08102,5.0656229
-17.829581,-52.081036,5.6715977
-17.82955,-52.081051,6.0117606
-17.829518,-52.081068,6.0947547
-17.829486,-52.081083,5.6885425
-17.829453,-52.0811,5.4934398
-17.829421,-52.081116,5.8010025
-17.82939,-52.081131,5.9648118
-17.829356,-52.081146,5.9179134
-17.829323,-52.081161,5.8188531
-17.829291,-52.081176,6.2310722
-17.829258,-52.081191,5.9845313
-17.829226,-52.081206,6.2920544
-17.829193,-52.081221,5.9518189
-17.82916,-52.081238,5.7073436
-17.829128,-52.081253,5.5308431
-17.829095,-52.081268,5.7084054
-17.829061,-52.081281,6.3061735
-17.82903,-52.081296,5.8294865
-17.828996,-52.081313,5.9391011
-17.828965,-52.081326,5.9497965
-17.828931,-52.081343,5.6321041
-17.8289,-52.081358,5.632695
-17.828866,-52.081371,5.2845317
-17.828831,-52.081386,5.6714219
-17.8288,-52.081403,5.6483661
-17.828766,-52.081418,5.4039246
-17.828735,-52.081433,5.627458
-17.828703,-52.08145,5.5385018
-17.82867,-52.081463,5.43397
-17.828638,-52.081478,5.4361527
-17.828605,-52.081493,5.6806409
-17.828573,-52.081508,5.7118661
-17.828541,-52.081526,5.7518881
-17.828508,-52.081543,5.6460434
-17.828475,-52.081558,5.8571334
-17.828443,-52.081571,5.6606758
-17.82841,-52.081586,5.8179457
-17.828375,-52.081601,6.1958946
-17.828341,-52.081616,5.6582915
-17.828308,-52.081631,5.4416068
-17.828276,-52.08165,5.5778129
-17.828245,-52.081665,6.0631547
-17.82821,-52.081676,5.8830712
-17.828176,-52.08169,6.4984233
-17.828145,-52.081703,6.1728348
-17.828111,-52.081716,6.1706185
-17.828078,-52.081731,5.9991291
-17.828045,-52.081745,5.6748217
-17.828011,-52.081758,5.6617132
-17.827978,-52.081773,5.3658598
-17.827946,-52.081786,5.6724984
-17.827911,-52.081803,5.5614022
-17.827878,-52.081818,6.2147551
-17.827845,-52.081831,5.442552
-17.827811,-52.081846,6.0420083
-17.82778,-52.081861,6.1654073
-17.827746,-52.081876,5.1803518
-17.827715,-52.08189,6.0343666
-17.827681,-52.081903,6.191761
-17.827648,-52.081916,5.7209317
-17.827615,-52.081931,5.0843109
-17.827581,-52.081946,5.4674796
-17.827548,-52.081963,5.1848058
